Country Name,Country Code,12��,xxxx,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
World,WLD,50.76101303,11,,,,53.98690879,,,,,57.60103076,,,,,59.39263331,,,,,60.88545028,61.14776899,61.42274837,61.63484915,61.87170032,62.13293491,62.45411182,62.71830071,62.93637845,63.15262043,63.33468962,63.51141465,63.66850709,63.75027145,63.90794673,64.08666718,64.34908496,64.60381033,64.80676193,64.98231088,65.19298226,65.42270104,65.61473598,65.83069475,66.09485593,66.30250917,66.5848819,66.8505477,67.09668311,67.3692708
Afghanistan,AFG,31.436,31.767,32.113,32.475,32.853,33.245,33.646,34.055,34.466,34.878,35.295,35.718,36.152,36.594,37.04,37.482,37.91,38.318,38.7,39.056,39.389,39.705,40.013,40.319,40.626,40.934,41.24,41.539,41.828,42.109,42.384,42.656,42.929,43.206,43.489,43.777,44.069,44.362,44.655,44.944,45.227,45.498,45.759,46.01,46.259,46.513,46.783,47.078,47.401,47.753
